account_rewards,date
5614.30597620015,2024-01-05
-7443.314676931361,2024-01-08
3814.1056023025885,2024-01-09
-1762.4059708786663,2024-01-10
-2161.073708675336,2024-01-11
-6893.473347984254,2024-01-12
-480.2852582857013,2024-01-16
5564.356901390245,2024-01-17
10948.437437995803,2024-01-18
827.6472580663394,2024-01-19
-7111.463223129278,2024-01-22
-5797.887836345704,2024-01-23
7369.8031113739125,2024-01-24
-1112.693589595845,2024-01-25
7544.533901473973,2024-01-26
4135.149148910539,2024-01-29
-9511.71243774402,2024-01-30
16705.722411666764,2024-01-31
-213.9095968399197,2024-02-01
-10850.908230430447,2024-02-02
3592.180856872583,2024-02-05
6722.521539325593,2024-02-06
3469.2605332147796,2024-02-07
-3049.889476028504,2024-02-08
1666.7323280831333,2024-02-09
-10500.89570917515,2024-02-12
3316.407183612697,2024-02-13
12714.099334823666,2024-02-14
-7199.543270359049,2024-02-15
-5205.669371667784,2024-02-16
1716.095325838076,2024-02-20
15450.864700302249,2024-02-21
8.075546272331849,2024-02-22
-2049.512521928875,2024-02-23
-2395.0915127296466,2024-02-26
1354.4089659252204,2024-02-27
-1957.852569856681,2024-02-28
1045.0944334603846,2024-02-29
-3943.071042869473,2024-03-01
-8052.922936104005,2024-03-04
2996.623795652529,2024-03-05
-689.6590222015511,2024-03-06
-566.8904197847005,2024-03-07
1782.063721574843,2024-03-08
12804.454982328461,2024-03-11
4343.406977472361,2024-03-12
-3265.7773120880593,2024-03-13
-5562.108775886474,2024-03-14
2144.020534534473,2024-03-15
10050.31514859572,2024-03-18
12346.229277788429,2024-03-19
8772.726541274926,2024-03-20
-16685.515384490835,2024-03-21
-9312.975341964746,2024-03-22
-2814.787815128453,2024-03-25
13265.748259002808,2024-03-26
2796.5538554075174,2024-03-27
-1597.557932941243,2024-03-28
-7104.794025619514,2024-04-01
-4840.023305912036,2024-04-02
-17275.027895435458,2024-04-03
4015.594925777521,2024-04-04
