account_value,date,daily_return
997677.0674198262,2023-01-04,
997677.0674198262,2023-01-05,0.0
997676.675070189,2023-01-06,-3.932631609249171e-07
997677.8020690547,2023-01-09,1.1296233477509077e-06
997677.7803090551,2023-01-10,-2.1810648176412428e-08
997679.5663072922,2023-01-11,1.7901553710508722e-06
997682.0513099291,2023-01-12,2.4907823321651534e-06
997685.6833063998,2023-01-13,3.6404348118246332e-06
997682.1570097569,2023-01-17,-3.5344765410005863e-06
997677.7684539146,2023-01-18,-4.398751457523886e-06
997674.5224379903,2023-01-19,-3.253571470573924e-06
997685.1777490252,2023-01-20,1.0680147478181468e-05
997689.6324647139,2023-01-23,4.465051489210836e-06
997697.2034674471,2023-01-24,7.5885350381277306e-06
997697.1857174477,2023-01-25,-1.7790968365183346e-08
997697.1594474484,2023-01-26,-2.6330633784432678e-08
997721.7384533276,2023-01-27,2.4635738055778234e-05
997711.6293429598,2023-01-30,-1.0132194156020624e-05
997717.6053371892,2023-01-31,5.989700885056237e-06
997717.5610871891,2023-02-01,-4.435122702428629e-08
997709.8460944752,2023-02-02,-7.732641996827105e-06
997725.1260799031,2023-02-03,1.531505927054866e-05
997716.4100881438,2023-02-06,-8.735864750253342e-06
997697.0551065307,2023-02-07,-1.939928161687199e-05
997667.5204760318,2023-02-08,-2.9602804125450355e-05
997657.2845857693,2023-02-09,-1.0259821085156773e-05
997667.6249158988,2023-02-10,1.0364611464419582e-05
997646.1383363651,2023-02-13,-2.1536811456113192e-05
997635.2695067219,2023-02-14,-1.0894473727263154e-05
997646.9691955051,2023-02-15,1.1727420973217662e-05
997658.6864643281,2023-02-16,1.1744904946153767e-05
997637.1774847751,2023-02-17,-2.155945700155204e-05
997613.6704372709,2023-02-21,-2.356272203429821e-05
997600.885449404,2023-02-22,-1.2815570040514146e-05
997627.5645435546,2023-02-23,2.674325428109192e-05
997599.9354476205,2023-02-24,-2.7694800059707703e-05
997573.4970727983,2023-02-27,-2.6501981287951892e-05
997518.747283444,2023-02-28,-5.4882963024693865e-05
997531.3692713531,2023-03-01,1.265338415290529e-05
997531.3179413554,2023-03-02,-5.1457026084555935e-08
997516.9207550427,2023-03-03,-1.4432816347498267e-05
997486.7596037686,2023-03-06,-3.023623022979649e-05
997486.7444837685,2023-03-07,-1.5158096000611465e-08
997486.7008037682,2023-03-08,-4.3790055803683003e-08
997486.654323768,2023-03-09,-4.659711272392286e-08
997445.4946012745,2023-03-10,-4.126343176125147e-05
997460.1516749272,2023-03-13,1.4694611116139455e-05
997522.9376149962,2023-03-14,6.294581288646128e-05
997522.9062949971,2023-03-15,-3.1397773381236505e-08
997489.5213868123,2023-03-16,-3.346781108892749e-05
997436.425332014,2023-03-17,-5.322968678855844e-05
997545.0030763305,2023-03-20,0.00010885680686900656
997544.9753463317,2023-03-21,-2.77982433738444e-08
997544.9387663334,2023-03-22,-3.667002412832687e-08
997510.0498295616,2023-03-23,-3.497480205250092e-05
997638.5162364302,2023-03-24,0.00012878708028107866
997656.7591790258,2023-03-27,1.8286124982891394e-05
997621.4782626347,2023-03-28,-3.536378224922032e-05
997621.4152626352,2023-03-29,-6.315020362190893e-08
997621.3667526356,2023-03-30,-4.862565994301349e-08
997638.7354760702,2023-03-31,1.7410135762396806e-05
997638.6714760716,2023-04-03,-6.415147724148085e-08
997583.6789685142,2023-04-04,-5.5122670291063436e-05
