,date,actions
0,2023-07-07,[0]
1,2023-07-10,[100]
2,2023-07-11,[28]
3,2023-07-12,[-6]
4,2023-07-13,[-12]
5,2023-07-14,[-58]
6,2023-07-17,[66]
7,2023-07-18,[-74]
8,2023-07-19,[-44]
9,2023-07-20,[0]
10,2023-07-21,[85]
11,2023-07-24,[7]
12,2023-07-25,[100]
13,2023-07-26,[-100]
14,2023-07-27,[64]
15,2023-07-28,[100]
16,2023-07-31,[79]
17,2023-08-01,[-100]
18,2023-08-02,[-100]
19,2023-08-03,[9]
20,2023-08-04,[-100]
21,2023-08-07,[55]
22,2023-08-08,[-99]
23,2023-08-09,[93]
24,2023-08-10,[100]
25,2023-08-11,[63]
26,2023-08-14,[-40]
27,2023-08-15,[73]
28,2023-08-16,[3]
29,2023-08-17,[22]
30,2023-08-18,[-100]
31,2023-08-21,[-100]
32,2023-08-22,[100]
33,2023-08-23,[-8]
34,2023-08-24,[-100]
35,2023-08-25,[100]
36,2023-08-28,[-17]
37,2023-08-29,[67]
38,2023-08-30,[91]
39,2023-08-31,[-10]
40,2023-09-01,[-17]
41,2023-09-05,[100]
42,2023-09-06,[22]
43,2023-09-07,[69]
44,2023-09-08,[52]
45,2023-09-11,[6]
46,2023-09-12,[49]
47,2023-09-13,[93]
48,2023-09-14,[-51]
49,2023-09-15,[50]
50,2023-09-18,[-100]
51,2023-09-19,[21]
52,2023-09-20,[100]
53,2023-09-21,[-100]
54,2023-09-22,[-96]
55,2023-09-25,[84]
56,2023-09-26,[37]
57,2023-09-27,[94]
58,2023-09-28,[38]
59,2023-09-29,[100]
60,2023-10-02,[69]
61,2023-10-03,[-100]
