account_value,date,daily_return
1000000.0,2021-05-04,
1000000.0,2021-05-05,0.0
1000000.0,2021-05-06,0.0
999999.5586500086,2021-05-07,-4.4134999133138564e-07
999983.3288651785,2021-05-10,-1.622979199311647e-05
999987.8281104483,2021-05-11,4.499320278572583e-06
999977.6251197257,2021-05-12,-1.0203114913842626e-05
999967.8481138148,2021-05-13,-9.777224675100449e-06
999968.0509143176,2021-05-14,2.0280702339725565e-07
999973.023229156,2021-05-17,4.972473704345504e-06
999991.4257714534,2021-05-18,1.8403038752001777e-05
999990.3590143828,2021-05-19,-1.0667662172503256e-06
999990.3126643819,2021-05-20,-4.635044770218144e-08
999990.3126643819,2021-05-21,0.0
999990.3126643819,2021-05-24,0.0
999990.3126643819,2021-05-25,0.0
999994.1820879349,2021-05-26,3.869461037808719e-06
999994.0174779367,2021-05-27,-1.6461095597719577e-07
999997.0699234285,2021-05-28,3.052463753316914e-06
1000005.9427005358,2021-06-01,8.8728031053531e-06
1000005.6157005472,2021-06-02,-3.2699804530800236e-07
1000005.6157005472,2021-06-03,0.0
1000005.6157005472,2021-06-04,0.0
1000005.6157005472,2021-06-07,0.0
1000005.6157005472,2021-06-08,0.0
1000004.216199689,2021-06-09,-1.399492999154539e-06
1000004.1680496898,2021-06-10,-4.8149796150198654e-08
1000004.1680496898,2021-06-11,0.0
1000004.1680496898,2021-06-14,0.0
999981.7960468259,2021-06-15,-2.2371909616625274e-05
999974.4560536924,2021-06-16,-7.3401267528527825e-06
999974.2532536855,2021-06-17,-2.0280518731041752e-07
999974.2532536855,2021-06-18,0.0
999972.6384499068,2021-06-21,-1.6148453557685016e-06
999972.1984503265,2021-06-22,-4.4001161980666836e-07
999972.1256303277,2021-06-23,-7.282202330038956e-08
999972.1256303277,2021-06-24,0.0
999972.1256303277,2021-06-25,0.0
999972.1256303277,2021-06-28,0.0
999972.1256303277,2021-06-29,0.0
999972.1256303277,2021-06-30,0.0
999972.1256303277,2021-07-01,0.0
999972.1256303277,2021-07-02,0.0
999972.1256303277,2021-07-06,0.0
999972.1256303277,2021-07-07,0.0
999972.1256303277,2021-07-08,0.0
999972.1256303277,2021-07-09,0.0
999965.8026360478,2021-07-12,-6.323170534283662e-06
999937.4856150594,2021-07-13,-2.8317989389070597e-05
999922.1826293673,2021-07-14,-1.5303942408562143e-05
999894.842081347,2021-07-15,-2.7342675755437362e-05
999894.6190013553,2021-07-16,-2.2310345282328115e-07
999895.7730114366,2021-07-19,1.1541317048724409e-06
999895.6342914315,2021-07-20,-1.3873446491619035e-07
999895.6342914315,2021-07-21,0.0
999888.3865195237,2021-07-22,-7.248528405612298e-06
999884.4042632638,2021-07-23,-3.982700782945159e-06
999884.2497032643,2021-07-26,-1.5457786806116758e-07
999881.7045055998,2021-07-27,-2.5454923060497237e-06
999881.6117555965,2021-07-28,-9.27609765666304e-08
999881.6117555965,2021-07-29,0.0
999881.6117555965,2021-07-30,0.0
999881.4483057392,2021-08-02,-1.6346921005716553e-07
