,date,actions
0,2021-05-04,[0]
1,2021-05-05,[0]
2,2021-05-06,[91]
3,2021-05-07,[68]
4,2021-05-10,[-97]
5,2021-05-11,[100]
6,2021-05-12,[-100]
7,2021-05-13,[-60]
8,2021-05-14,[88]
9,2021-05-17,[-32]
10,2021-05-18,[-49]
11,2021-05-19,[-9]
12,2021-05-20,[0]
13,2021-05-21,[0]
14,2021-05-24,[0]
15,2021-05-25,[31]
16,2021-05-26,[-31]
17,2021-05-27,[36]
18,2021-05-28,[24]
19,2021-06-01,[-60]
20,2021-06-02,[0]
21,2021-06-03,[0]
22,2021-06-04,[0]
23,2021-06-07,[0]
24,2021-06-08,[9]
25,2021-06-09,[-9]
26,2021-06-10,[0]
27,2021-06-11,[0]
28,2021-06-14,[100]
29,2021-06-15,[-40]
30,2021-06-16,[-60]
31,2021-06-17,[0]
32,2021-06-18,[22]
33,2021-06-21,[0]
34,2021-06-22,[-22]
35,2021-06-23,[0]
36,2021-06-24,[0]
37,2021-06-25,[0]
38,2021-06-28,[0]
39,2021-06-29,[0]
40,2021-06-30,[0]
41,2021-07-01,[0]
42,2021-07-02,[0]
43,2021-07-06,[0]
44,2021-07-07,[0]
45,2021-07-08,[0]
46,2021-07-09,[100]
47,2021-07-12,[100]
48,2021-07-13,[100]
49,2021-07-14,[-74]
50,2021-07-15,[-78]
51,2021-07-16,[-100]
52,2021-07-19,[-48]
53,2021-07-20,[0]
54,2021-07-21,[78]
55,2021-07-22,[-22]
56,2021-07-23,[-56]
57,2021-07-26,[35]
58,2021-07-27,[-35]
59,2021-07-28,[0]
60,2021-07-29,[0]
61,2021-07-30,[5]
